timestamp,customer_id,page,session_duration,device
2024-10-01 18:00:00,216,Search,56.3,Mobile
2024-12-13 06:00:00,72,Checkout,183.4,Mobile
2024-02-01 13:00:00,278,Search,196.6,Tablet
2024-08-12 18:00:00,263,Search,289.4,Tablet
2024-03-20 16:00:00,317,Homepage,178.1,Mobile
2024-02-18 09:00:00,118,Homepage,297.9,Tablet
2024-09-06 23:00:00,219,Checkout,112.7,Tablet
2024-08-10 22:00:00,184,Product Page,27.6,Tablet
2024-11-12 11:00:00,3,Search,287.9,Tablet
2024-07-08 18:00:00,190,Search,92.4,Desktop
2024-02-24 13:00:00,82,Cart,174.0,Tablet
2024-09-11 19:00:00,325,Product Page,133.8,Tablet
2024-06-24 09:00:00,380,Search,5.7,Desktop
2024-07-13 06:00:00,94,Product Page,70.7,Desktop
2024-12-10 01:00:00,371,Product Page,217.3,Tablet
2024-08-26 09:00:00,339,Product Page,135.5,Mobile
2024-09-30 19:00:00,224,Product Page,207.2,Mobile
2024-06-09 06:00:00,128,Product Page,78.5,Tablet
2024-12-26 11:00:00,343,Cart,204.2,Mobile
2024-03-06 17:00:00,208,Checkout,35.3,Tablet
2024-11-10 23:00:00,240,Homepage,178.8,Desktop
2024-01-14 17:00:00,221,Cart,54.6,Desktop
2024-11-15 13:00:00,293,Search,266.8,Tablet
2024-04-05 02:00:00,59,Homepage,93.8,Mobile
2024-11-06 04:00:00,168,Checkout,88.0,Desktop
2024-03-22 05:00:00,327,Product Page,186.7,Desktop
2024-11-04 10:00:00,374,Product Page,111.6,Mobile
2024-04-02 08:00:00,293,Homepage,111.1,Desktop
2024-05-04 23:00:00,244,Cart,65.4,Mobile
2024-10-14 06:00:00,189,Cart,60.2,Mobile
2024-04-11 15:00:00,341,Product Page,293.3,Tablet
2024-01-10 09:00:00,414,Homepage,242.5,Mobile
2024-09-13 05:00:00,442,Cart,89.7,Mobile
2024-05-02 20:00:00,336,Homepage,75.0,Tablet
2024-04-08 21:00:00,39,Search,236.8,Mobile
2024-12-06 07:00:00,289,Search,40.8,Tablet
2024-11-12 01:00:00,97,Product Page,276.0,Desktop
2024-10-14 09:00:00,307,Homepage,181.6,Desktop
2024-12-15 21:00:00,277,Homepage,40.8,Mobile
2024-03-05 07:00:00,363,Cart,74.8,Tablet
2024-07-03 17:00:00,9,Homepage,128.0,Tablet
2024-02-17 19:00:00,193,Product Page,33.7,Mobile
2024-08-14 11:00:00,481,Homepage,287.8,Tablet
2024-12-16 05:00:00,73,Search,43.0,Tablet
2024-06-01 18:00:00,247,Search,294.8,Tablet
2024-10-06 13:00:00,479,Product Page,89.7,Mobile
2024-03-16 13:00:00,490,Product Page,20.1,Tablet
2024-04-21 22:00:00,398,Product Page,285.4,Mobile
2024-06-12 17:00:00,160,Search,25.8,Desktop
2024-03-27 23:00:00,37,Homepage,96.8,Mobile
2024-08-19 22:00:00,372,Checkout,299.9,Desktop
2024-01-03 22:00:00,479,Homepage,259.8,Desktop
2024-11-05 13:00:00,403,Cart,281.0,Desktop
2024-04-30 02:00:00,429,Homepage,5.7,Mobile
2024-12-12 07:00:00,460,Cart,102.9,Tablet
2024-11-07 07:00:00,35,Checkout,168.7,Desktop
2024-01-27 09:00:00,332,Checkout,63.9,Tablet
2024-02-03 14:00:00,244,Cart,79.1,Mobile
2024-12-02 13:00:00,289,Homepage,89.1,Tablet
2024-12-29 17:00:00,27,Checkout,184.8,Tablet
2024-04-03 03:00:00,352,Checkout,124.4,Tablet
2024-12-15 12:00:00,278,Cart,16.3,Mobile
2024-05-09 09:00:00,243,Homepage,7.1,Desktop
2024-07-17 08:00:00,165,Cart,80.5,Desktop
2024-06-09 11:00:00,46,Product Page,71.9,Desktop
2024-03-10 10:00:00,266,Homepage,85.0,Desktop
2024-04-03 12:00:00,64,Search,83.2,Mobile
2024-12-12 19:00:00,329,Search,96.1,Tablet
2024-12-05 15:00:00,167,Cart,108.1,Tablet
2024-01-15 03:00:00,278,Cart,90.9,Desktop
2024-12-09 01:00:00,370,Homepage,125.0,Mobile
2024-09-08 07:00:00,206,Checkout,171.1,Mobile
2024-11-21 14:00:00,181,Checkout,155.2,Desktop
2024-10-17 20:00:00,30,Homepage,182.4,Tablet
